"Activity ID","realization Of","Activity name","Required","Definition","Source","Goal","Who","Input","Output","Specializations","Related tasks","Comment","publications","resources"
"A1","P9","Ontology Mapping or Aligning Activity NeOn","","the activity of finding the correspondences between two or more ontologies and storing/exploiting them. A synonym for this activity is Ontology Mapping.","NeOn531","","","","","","","","",""
"A2","P10","Ontology Annotation Activity NeOn","yes","the activity of enriching the ontology with additional information, e.g. metadata or comments.","NeOn531","","","","","","","","",""
"A3","P11","Ontology Assessment Activity NeOn","yes","the activity of checking an ontology against user requirements, such as usability, usefulness, abstraction, quality, etc.","NeOn531","","","","","","","","",""
"A4","P12","Ontology Comparison Activity NeOn","yes","the activity of finding differences between two or more ontologies or between two or more ontology modules.","NeOn531","","","","","","","","",""
"A5","P13","Ontology Conceptualization Activity NeOn","yes","the activity of organizing and structuring the information (data, knowledge, etc.), obtained during the acquisition process, into meaningful models at the knowledge level according to the ontology specification document. This activity is independent of the way in which the ontology implementation will be carried out.","NeOn531","","","","","","","","",""
"A6","P14","Ontology Configuration Management Activity NeOn","yes","the activity of recording all the versions of the documentation, software and ontology code, and of controling the changes","NeOn531","","","","","","","","",""
"A7","P15","Control Activity NeOn","yes","the activity of guaranteeing that scheduled activities in the ontology development process are completed in the manner intended to be performed.","NeOn531","","","","","","","","",""
"A8","P16","Ontology Customization Activity NeOn","","the activity of adapting an ontology to a specific user's needs.","NeOn531","","","","","","","","",""
"A9","P17","Ontology Diagnosis Activity NeOn","yes","the activity of identifying parts of the ontology directly responsible for incorrectness and incompleteness. Ontology diagnosis is triggered by ontology validation.","NeOn531","","","","","","","","",""
"A10","P18","Ontology Documentation Activity NeOn","yes","the collection of documents and explanatory comments generated during the entire ontology building process. Note: Examples of documents external to the implemented ontology include ontology specification documents, sources used for acquiring knowledge, ontology conceptualization document, design and decision criteria, ontological commitments, etc.","NeOn531","","","","","","","","",""
"A11","P19","Ontology Elicitation Activity NeOn","yes","a knowledge acquisition activity in which conceptual structures (e.g. T-Box) and their instances (e.g. A-Box) are acquired from domain experts.","NeOn531","","","","","","","","",""
"A12","P20","Ontology Enrichment Activity NeOn","","the activity of extending an ontology wiht new conceptual structures (e.g., concepts, roles, axioms, etc.).","NeOn531","","","","","","","","",""
"A13","P21","Ontology Environment Study Activity NeOn","yes","the activity of analyzing the environment in which the ontology is going to be developed.","NeOn531","","","","","","","","",""
"A14","P22","Ontology Evaluation Activity NeOn","yes","Ontology evaluation refers to the activity of checking the technical quality of an ontology against a frame of reference.","NeOn531","","","","","","","","",""
"A15","P23","Ontology Evolution Activity NeOn","yes","the activity of facilitating the modification of an ontology by preserving its consistency.","NeOn531","","","","","","","","",""
"A16","P24","Ontology Extension Activity NeOn","","an ontology enrichment activity for stretching the ontology in width.","NeOn531","","","","","","","","",""
"A17","P25","Ontology Feasibility Study Activity NeOn","yes","the activity of answering questions like: is it possible to build the ontology? is it suitable to build the ontology?, etc.","NeOn531","","","","","","","","",""
"A18","P26","Ontology Formalization Activity NeOn","yes","the transformation of a conceptual model into a formal or semi-computable model according to a knowledge representation paradigm (e.g., description logics, frames, rules, etc.).","NeOn531","","","","","","","According to NeOn D5.4.2 an activity, but also a task of A19","",""
"A19","P27","Ontology Forward Engineering Activity NeOn","","the activity of outputting a new implementation of the ontology on the basis of the new conceptual model.","NeOn531","","R1","INF_NeOn_28","INF_NeOn_23","","","","",""
"A20","P28","Ontology Implementation Activity NeOn","yes","the activity of generating computable models according to the syntax of a formal representation language (e.g. RDF(s), OWL, FLogic, etc.).","NeOn531","","","","","","","","",""
"A21","P29","Ontology Integration Activity NeOn","yes","the activity of including one ontology in another ontology.","NeOn531","","","","","","","","",""
"A22","P30","Knowledge Acquisition for Ontologies Activity NeOn","yes","activities for capturing knowledge (e.g., T-Box and A-Box) from a variety of sources (e.g., documents, experts, data bases, etc.). We can distinguish between: Ontology Elicitation, Ontology Learning and Ontology Population.","NeOn531","","","","","","","","",""
"A23","P31","Ontology Learning Activity NeOn","","Ontology Learning is a knowledge acquisition activity that relies on (semi-) automatic methods to transform unstructured (e.g. corpora), semi-structured (e.g. folksonomies, html pages, etc.) and structured data sources (e.g. data bases) into conceptual structures (e.g. T-Box).","NeOn531","","","","","","","","",""
"A24","P32","Ontology Localization Activity NeOn","","the adaption of an ontology to a particular language and culsture.","NeOn531","","","","","","","","",""
"A25","P33","Ontology Matching Activity NeOn",""," the activity of finding or discovering relationships or correspondences beetween entities of different ontologies or ontology modules. Note: Ontology matching can be seen as the first stage of Ontology Aligning.","NeOn531","","","","","","","","",""
"A26","P34","Ontology Merging Activity NeOn","","the activity of creating a new ontology or ontology module from two or more, possibly overlapping, source ontologies or ontology modules.","NeOn531","","","","","","","","",""
"A27","P35","Ontology Modification Activity NeOn","","the activity of changing the ontology, without considering the consistency.","NeOn531","","","","","","","","",""
"A28","P36","Ontology Modularization Activity NeOn","","the activity of identifying one or more modules in an ontology with the purpose of supporting reuse or maintenance. Note: We can make distinctions between: Ontology Module Extraction and Ontology Partitioning.","NeOn531","","","","","","","","",""
"A29","P37","Ontology Module Extraction Activity NeOn","","the activity of obtaining from an ontology concrete modules to be used for a particular pupose (e.g. to contain a particular sub-vocabulary of the original ontology).","NeOn531","","","","","","","","",""
"A30","P38","Ontology Partitioning Activity NeOn","","the activity of dividing an ontology into a set of (not necessary disjoint) modules that together form an ontology and that can be treated separately.","NeOn531","","","","","","","","",""
"A31","P39","Ontology Population Activity NeOn","","a knowledge acquisition activity that relies on (semi-) automatic methods to transform unstructured (e.g. corpora), semi-structured (e.g. folksonomies, html pages, etc.) and structured data sources (e.g. data bases) into instance data (e.g. A-Box).","NeOn531","","","","","","","","",""
"A32","P40","Ontology Pruning Activity NeOn",""," the activity of discarding conceptual structures (e.g., part of T-Box) of a given ontology that are not or no longer relevant. Note: Pruning is mostly used in combination with ontology learning methods to discard potentially irrelevant learned concepts/relations.","NeOn531","","","","","","","","",""
"A33","P41","Ontology Quality Assurance Activity NeOn","yes","the activity of assuring that the quality of each and every process carried out and product built (ontology, software and documentation) is satisfactory.","NeOn531","","","","","","","","",""
"A35","P43","Ontology Restructuring Activity NeOn","","the activity of correcting and reorganizing the knowledge contained in an initial conceptual model, and detecting missing knowledge. Note: This process contains two phases: analysis and synthesis. The ''analysis phase goal'' is to evaluate the ontology technically, that is, to check that the hierarchy of the ontology and its classes, instances, relations and functions are complete (contain all the definitions required for the domain of chemical substances), consistent (there are no contradictions in the ontology and with respect to the knowledge sources used), concise (there are no explicit and implicit redundancies) and syntactically correct. The ''synthesis phase'' seeks to correct the ontology after the analysis phase and document any changes made.","NeOn531","","","","","","","","",""
"A36","P44","Ontology Repair Activity NeOn","yes"," the activity of resolving errors (incompleteness, incorrecteness) in the ontology and it is triggered by ontology diagnosis.","NeOn531","","","","","","","","",""
"A37","P45","Ontology Reverse Engineering Activity NeOn","","The activity of outputting a possible conceptual model on the basis of the code in which the ontology is implemented.","NeOn531","","","","","","","","",""
"A38","P46","Scheduling Activity NeOn","yes","The activity of identifying the tasks to be performed during the ontology development, their arrangement, and the time and resources needed for their completion.","NeOn532","","","","","","","","",""
"A39","P47","Ontology Search Activity NeOn","yes","The activity of finding candidate ontologies or ontology modules to be reused","NeOn531","","","","","","","","",""
"A40","P48","Ontology Selection Activity NeOn","yes","The activity of choosing the most suitable ontologies or among those available in an ontology repository or library, for a concrete domain of interest and associated tasks.","NeOn531","","","","","","","","",""
"A41","P49","Ontology Specialization Activity NeOn","","an ontology enrichment activity for extending the ontology in depth.","NeOn531","","","","","","","","",""
"A42","P50","Ontology Specification Activity NeOn","","The activity of collecting the requirements that the ontology should fulfill, e.g. reasons to build the ontology, target group, intended uses, possibly reached through a consensus process.","NeOn531","","","A set of ontological needs.","Ontology Requirements Specification Document (ORSD)","","","","",""
