"Information Item ID","realization Of","Name","Description (characteristics)","Source information item","Source definition","publications","resources"
"INF_NeOn_1","INF1","Ontology purpose","","NeOn541","","",""
"INF_NeOn_2","INF2","Ontology scope","","NeOn541","","",""
"INF_NeOn_3","INF3","Ontology level of formality","","NeOn541","","",""
"INF_NeOn_4","INF4","Ontology list with intended users","","NeOn541","","",""
"INF_NeOn_5","INF5","Ontology use-cases","","NeOn541","","",""
"INF_NeOn_6","INF6","Ontology CQs (natural language) NeOn","","NeOn541","","",""
"INF_NeOn_7","INF7","Ontology CQs answers (natural language)","","NeOn541","","",""
"INF_NeOn_8","INF8","Ontology Groups of CQs","","NeOn541","","",""
"INF_NeOn_9","INF9","Ontology CQs validity confirmation","","NeOn541","","",""
"INF_NeOn_10","INF10","Ontology CQs priorities","","NeOn541","","",""
"INF_NeOn_11","INF11","Ontology CQs validity criteria"," Correctness. Inspired on [1, 2], we can say that a set of requirements is correct if each requirement refers to some features of the ontology to be developed. That is, any requirement is necessary.   Completeness. In [3], a requirement specification is considered as complete if no requirement is omitted. Practically and adapting this consideration to the ontology engineering field, we can say that if users and domain experts review the requirements and confirm that they do not know more necessary requirements, then the set of requirements can be considered complete.   Consistent. The set of requirements can be considered internally consistent if no conflicts exit between requirements. Conflicts can be between terms (different terminology is used in the requirements to refer to the same need) and between characteristics (two or more requirements refer to contradictory features of the ontology to be developed).  Verificable. Based on [2, 1], we can say that the set of requirements is verificable if each requirement is verificable. That is, a finite process with a reasonable cost exists to test that the final ontology satisfies each requirement. A necessary condition to have a verificable requirement is that such a requirement should be unambiguous.   Understandable. Each requirement must be understandable by users and domain experts. No Ambiguity. Based on [2, 1], we can say that an ontology requirement is unambiguous if it has only one interpretation.  Conciseness. Each and every requirement is relevant, and there are no duplicated or irrelevant requirements.  Realism. Requirement meanings must make sense in the domain.  Modifiable. Based on [2, 1], we can say that a set of requirements is modifiable if its structure and style allow to change issues in an easy, complete and consistent way.  Traceable. Based on [2, 1], we can say that an ontology requirement is retraceable if its origin is known and it can be referred to in other documents during the ontology development. A necessary condition to have retraceable requirements is that such requirements should be referred in a unique way (normally using a kind of code).  -- [1] IEEE Recommended Practice for Software Requirements Specifications. IEEE St 830-1993 [2] A. Davis. Software Requirements: Objects, Functions and States, Upper Saddle River, New Jersey: Prentice Hall, 1993. [3] B.J. Wielinga, A.T. Schreiber, J.A.C. Sandberg. From Thesaurus to Ontology. First International Conference of Knowledge Capture KCAP01 Victoria, British Columbia, Canada, ACM Press 2001. ","NeOn541","NeOn D5.4.1","Pub29, Pub30, Pub31",""
"INF_NeOn_12","INF12","Ontology Pre-glossary","","NeOn541","","",""
"INF_NeOn_13","INF13","Ontological needs","Non-further defined needs used to create ontology requirements.","NeOn541","Sven.Lieber@ugent.be","",""
"INF_NeOn_14","INF14","Ontology Requirements Specifications Document (ORSD) NeOn","","NeOn541","","",""
"INF_NeOn_15","INF15","Set of relevant non-ontological resources","","NeOn541","","",""
"INF_NeOn_16","INF16","Non-ontological resource reuse candidates","","NeOn541","","",""
"INF_NeOn_17","INF17","Non-ontological resource lexical entries","","NeOn541","","",""
"INF_NeOn_18","INF18","Non-ontological resource precision","","NeOn541","","",""
"INF_NeOn_19","INF19","Non-ontological resource coverage","","NeOn541","","",""
"INF_NeOn_20","INF20","Non-ontological resource consensus","","NeOn541","","",""
"INF_NeOn_21","INF21","Non-ontological resource assessment table","","NeOn541","","",""
"INF_NeON_22","INF22","Non-ontological resource quality criteria","","NeOn542","","",""
"INF_NeOn_23","INF23","Ontology (implemented)","","NeOn541","","",""
"INF_NeOn_24","INF24","Non-ontological resource documentation","","NeOn541","","",""
"INF_NeOn_25","INF25","Non-ontological resource schema","","NeOn541","","",""
"INF_NeOn_26","INF26","Non-ontological resource data model","","NeOn541","","",""
"INF_NeOn_27","INF27","Non-ontological reengineering pattern","","NeOn541","","",""
"INF_NeOn_28","INF28","Conceptual model","","NeOn541","","",""
"INF_NeOn_29","INF29","Ontology Requirements addressed by Ontology Design Patterns (candidates)","","NeOn542","","",""
