"publication ID","publication date","name","description","authors","bibtex"
"NeOn251","2008","D2.5.1: A Library of Ontology Design Patterns: reusable solutions for collaborative design of networked ontologies.","D2.5.1: A Library of Ontology Design Patterns: reusable solutions for collaborative design of networked ontologies. NeOn Project. Available at: http://www.neonproject.org. February 2008.","V. Presutti, A. Gangemi, S. David, G. Aguado de Cea, M. C. Suárez-Figueroa, E. MontielPonsoda, M. Poveda",""
"NeOn531","2007-08-31","D5.3.1 NeOn Development Process and Ontology Life Cycle","D5.3.1 NeOn Development Process and Ontology Life Cycle","",""
"NeOn532","2008-11-30","D5.3.2 Revision and Extension of the NeOn Development Process and Ontology Life Cycle","D5.3.2 Revision and Extension of the NeOn Development Process and Ontology Life Cycle","",""
"NeOn511","2007","D5.1.1 NeOn Modelling Components. NeOn Project","D5.1.1 NeOn Modelling Components. NeOn Project. Available at: http://www.neon-project.org. March 2007","M. C. Suárez-Figueroa, S. Brockmans, A. Gangemi, A. Gómez-Pérez, J. Lehmann, H. Lewen, V. Presutti, and M. Sabou",""
"NeOn541","2008-02-29","D5.4.1. NeOn Methodology for Building Contextualized Ontology Networks","D5.4.1. NeOn Methodology for Building Contextualized Ontology Networks","",""
"NeOn542","2009-02-28","D5.4.2. Revision and Extension of the NeOn Methodology for Building Contextualized Ontology Networks","D5.4.2. Revision and Extension of the NeOn Methodology for Building Contextualized Ontology Networks","",""
"NeOn543","2010-01-31","D5.4.3. Revision and Extension of the NeOn Methodology for Building Contextualized Ontology Networks","D5.4.3. Revision and Extension of the NeOn Methodology for Building Contextualized Ontology Networks","",""
"UPON","2009","A software engineering approach to ontology building","A software engineering approach to ontology building","De Nicola, Antonio and Missikoff, Michele and Navigli, Roberto",""
"SAMOD","2016","SAMOD: an agile methodology for the development of ontologies","SAMOD: an agile methodology for the development of ontologies","",""
"Pub1","2004","Methods and Tools for Ontology Evolution","Methods and Tools for Ontology Evolution. Dissertation. 2004","L. Stojanovic",""
"Pub2","1999","The Unified Software Development Process","The Unified Software Development Process, Addison Wesley, USA, 1999.","I. Jacobson, G. Booch, J. Rumbaugh",""
