"Task ID","realization Of","Name","Related Technique","Order","Related Activity","Description","Source","Who","Input","Output","Tools"
"TA_NeOn_1","P103, P111, P112","Identify purpose, scope and level of formality","TE5","1","A42","The objective of this task is to obtain the main goal or aim of the ontology, its coverage and granularity. The degree of formality to be used to codify the ontology should be also identified. This degree of formality ranges from informal natural language to a rigorous formal language. Users, domain experts and the ontology development team carry out this task taking as input a set of ontological needs for obtaining the purpose, scope and level of formality of the ontology, using techniques as physical or virtual interviewers between them. The task output is the purpose, scope and level of formality of the ontology, which will be included in the corresponding slots of the OSRD template. ","NeOn D5.4.1","","INF12","INF1,INF2,INF3",""
"TA_NeOn_2","P104","Identify intended ontology users","TE5","2","A42","The goal of this task is to establish which are the main intended users of the ontology. Users, domain experts and the ontology development team carry out this task taking as input a set of ontological needs for identifying the intended users, using techniques as physical or virtual interviewers between them. The task output is a list with the intended users, which will be included in the corresponding slot of the OSRD template.","NeOn D5.4.1","","INF12","INF4",""
"TA_NeOn_3","P105","Identify intended uses","TE5","3","A42","The goal of this task is to obtain the main ontology intended uses, that is, in which kind of scenarios the ontology will be used. Users, domain experts and the ontology development team carry out this task taking as input a set of ontological needs for identifying the intended uses, using techniques as physical or virtual interviewers between them. The development of an ontology is motivated by scenarios related to the application that will use the ontology. The task output is a list of intended uses in the form of scenarios. Such scenarios describe a set of the ontology’s requirements that the ontology should satisfy after being formally implemented. The scenarios can be described in natural language or expressed in UML as use cases. The list of scenarios will be included in the corresponding slot of the OSRD template.","NeOn D5.4.1","","INF12","INF5",""
"TA_NeOn_4","P106","Identify requirements","TE5","4","A42","The goal of this task is to obtain the set of requirements or needs that the ontology should fulfill.
Users, domain experts and the ontology development team carry out this task taking as input a set
of ontological needs for identifying the ontology requirements, using techniques as writing the
requirements in natural language in the form of the so-called competency questions (CQs) and
tools as mind map tools, excel, and collaborative tools.
The output of this task is a list of competency questions written in Natural Language and a set of
answers for the CQs.
Different approaches for identifying competency questions can be applied, such as:
 Top-Down: Complex questions are decomposed in simple ones.
 Bottom-Up: Simple questions that are organised to form complex ones.
 Middle out: Mix approach between top-down and bottom-up. ","NeOn D5.4.1","","INF12","INF6,INF7","MindMap tools
Wiki tools"
"TA_NeOn_5","P107","Group requirements","TE5","5","A42","The goal of this task is to group the list of CQs into several categories. Users, domain experts and the ontology development team carry out this task taking as input the list of CQs written in natural language (obtained in task 4) for obtaining different groups of CQs, using techniques as Card Sorting, when the grouping is done manually, and Clustering NL sentences or Information Extraction when the grouping is done automatically; and using tools as MindMap Tools or Cicero Tool (for distributed teams).","NeOn D5.4.1","","INF6","INF8",""
"TA_NeOn_6","P108","Validate the set of requirements","TE5","6","A42","The goal of this task is to identify possible conflicts between CQs, missing CQs, and contradictions in CQs. Users and domain experts carry out this task taking as input the set of grouped CQs for deciding if such CQs are valid or not. The task output is a confirmation about the validity of the set of CQs.","NeOn D5.4.1","","INF11","INF9",""
"TA_NeOn_7","P109","Prioritize requirements","TE5","7","A42","The goal of this task is to give different levels of priority to the different groups of CQs, and within each group to the identified requirements (in the form of CQs). Users, domain experts and the ontology development team carry out this task taking as input the groups of CQs written in natural language (obtained in task 5) for obtaining the priorities for each group and for each CQs within a group. The task output is a set of priorities attached to each group of CQs and to each CQ in a group. Priorities in CQs will be used for planning the ontology development. This task is optional, but recommended. In fact, if no priorities are given to the groups of CQs, the ontology development will model all requirements at the same time.","NeOn D5.4.1","","INF8","INF10",""
"TA_NeOn_8","P110","Extract terminology and its frequency","TE5","8","A42","The goal of this task is to extract from the list of CQs a pre-glossary to be used in the conceptualization activity. The ontology development team carries out this task taking as input the list of identified CQs and their answers for obtaining a list of the most used terms in them, using terminology extraction techniques and tools supporting such techniques. From the requirements in form of competency questions, we extract the terminology (names, adjectives and verbs) that will be formally represented in the ontology by means of concepts, attributes and relations. From the answers to the CQs we extract the objects in the universe of discourse that will be represented as instances.","NeOn D5.4.1","","INF6,INF7","INF12",""
"TA_NeOn_9","P80","Lexical Entries Extraction","","","A71","The goal of this task is to extract the lexical entries of the non ontological resources. Software developers and ontology practitioners carry out this task taking as input the non ontological resources for extracting their lexical entries using terminology extraction tools.","NeOn D5.4.1","R1,R3","INF_NeOn_16","INF_NeOn_17",""
"TA_NeOn_10","P81","Non-ontological Precision Calculation","","","A71","The goal of this task is to calculate the precision of the non ontological resources. Software developers and ontology practitioners carry out this task, taking as input the lexical entries extracted for the non ontological resources and the Ontology Requirements Specification Document (ORSD) for compute the precision of the non ontological resources. Precision is a measure widely used in information retrieval [16]. It is defined as the proportion of retrieved material that is actually relevant. To adapt this measure into our context we need to define: {NORLexicalEntries} is the set of lexical entries extracted from the non ontological resource. {ORSDTerminology} is the set of identified terms included in the Ontology Requirements Specification Document (ORSD). Now we can define the precision, in our context, as the proportion of the lexical entries of the non ontological resource that are included in the identified terms of the ORSD over the lexical entries of the non ontological resource. This is expressed as follows: Precision = ({NORLexicalEntries} intersection {ORSDTerminology}/{NORLexicalEntries})","NeOn D5.4.1","R1,R3","INF_NeOn_14, INF_NeOn_17","INF_NeOn_18",""
"TA_NeOn_11","P82","Non-ontological Coverage Calculation","","","A71","The goal of this task is to calculate the coverage of the non ontological resources. Software developers and ontology practitioners carry out this task, taking as input the lexical entries extracted from the non ontological resources and the Ontology Requirements Specification Document (ORSD) for computing the coverage of the non ontological resources. Coverage is based on recall measure used information retrieval [16]. Recall is defined as the proportion of relevant material actually retrieved in answer to a search request. To adapt this measure into our context, we use the aforementioned definition of {NORLexicalEntries} and {ORSDTerminology}. In this context, coverage is the proportion of the identified terms of the ORSD that are included in the lexical entries of the non ontological resource over the identified terms of the ORSD. This is expressed as follows: Coverage = ({NORLexicalEntries} intersection {ORSDTerminology}/{ORSDTerminology})","NeOn D5.4.1","R1,R3","INF_NeOn_14, INF_NeOn_17","INF_NeOn_19",""
"TA_NeOn_12","P83","Non-ontological Consensus Evaluation","","","A71","The goal of this task is to evaluate the consensus of the non ontological resources. Consensus is a subjective and not quantifiable criterion. Domain experts carry out this task taking as input the non ontological resources for stating whether the non ontological resources contain already consensuated terminology by the community or not.","NeOn D5.4.1","R2","INF_NeOn_16","INF_NeOn_20",""
